RANK,"MALE NAME","NUMBER OF MALES"
478,Bruce,607
479,Nikolai,607
480,Francis,606
481,Rocco,606
482,Kairo,605
483,Royal,604
484,Zachariah,601
485,Arjun,600
486,Deacon,599
487,Skyler,597
488,Eden,594
489,Alijah,589
490,Rowen,585
491,Pierce,584
492,Uriel,580
493,Ronald,578
494,Luciano,577
495,Tate,576
496,Frederick,575
497,Kieran,575
498,Lawrence,573
499,Moses,573
500,Rodrigo,571
501,Brycen,569
502,Leonidas,568
503,Nixon,567
504,Keith,565
505,Chandler,564
506,Case,559
507,Davis,558
508,Asa,554
509,Darius,549
510,Isaias,548
511,Aden,547
512,Jaime,547
513,Landyn,547
514,Raul,547
515,Niko,545
516,Trenton,545
517,Apollo,543
518,Cairo,542
519,Izaiah,542
520,Scott,541
521,Dorian,539
522,Julio,538
523,Wilder,538
524,Santino,537
525,Dustin,535
526,Donald,533
527,Raphael,533
528,Saul,533
529,Taylor,532
530,Ayaan,529
531,Duke,527
532,Ryland,527
533,Tatum,524
534,Ahmed,521
535,Moshe,521
536,Edison,519
537,Emmitt,519
538,Cannon,518
539,Alec,516
540,Danny,516
541,Keaton,514
542,Roy,514
543,Conrad,513
544,Roland,512
545,Quentin,511
546,Lewis,506
547,Samson,505
548,Brock,504
549,Kylan,501
550,Cason,500
551,Ahmad,499
552,Jalen,499
553,Nikolas,497
554,Braylon,496
555,Kamari,496
556,Dennis,493
557,Callum,492
558,Justice,491
559,Soren,491
560,Rayan,489
561,Aarav,488
562,Gerardo,488
563,Ares,486
564,Brendan,485
565,Jamari,485
566,Kaison,485
567,Yusuf,485
568,Issac,484
569,Jasiah,484
570,Callen,482
571,Forrest,480
572,Makai,480
573,Crew,478
574,Kobe,478
575,Bo,477
576,Julien,477
577,Mathew,474
578,Braden,473
579,Johan,473
580,Marvin,473
581,Zaid,473
582,Stetson,467
583,Casey,466
584,Ty,466
585,Ariel,465
586,Tony,465
587,Zain,465
588,Callan,464
589,Cullen,462
590,Sincere,461
591,Uriah,461
592,Dillon,459
593,Kannon,458
594,Colby,457
595,Axton,456
596,Cassius,456
597,Quinton,456
598,Mekhi,454
599,Reece,453
600,Alessandro,452
601,Jerry,451
602,Mauricio,451
603,Sam,451
604,Trey,447
605,Mohammad,444
606,Alberto,442
607,Gustavo,442
608,Arturo,441
609,Fletcher,441
610,Marcelo,440
611,Abdiel,439
612,Hamza,438
613,Alfredo,437
614,Chris,437
615,Finnley,436
616,Curtis,435
617,Kellan,434
618,Quincy,431
619,Kase,430
620,Harry,427
621,Kyree,426
622,Wilson,426
623,Cayson,424
624,Hezekiah,424
625,Kohen,424
626,Neil,424
627,Mohammed,423
628,Raylan,423
629,Kaysen,420
630,Lucca,420
631,Sylas,417
632,Mack,416
633,Leonard,415
634,Lionel,415
635,Ford,413
636,Roger,411
637,Rex,410
638,Alden,405
639,Boston,405
640,Colson,405
641,Briggs,403
642,Zeke,403
643,Dariel,401
644,Kingsley,400
645,Valentino,396
646,Jamir,395
647,Salvador,394
648,Vihaan,394
649,Mitchell,392
650,Lance,391
651,Lucian,391
652,Darren,390
653,Jimmy,390
654,Alvin,388
655,Amos,385
656,Tripp,385
657,Zaire,385
658,Layton,382
659,Reese,381
660,Casen,380
661,Colten,380
662,Brennan,379
663,Korbin,379
664,Sonny,379
665,Bruno,378
666,Orlando,378
667,Devon,377
668,Huxley,377
669,Boone,376
670,Maurice,375
671,Nelson,373
672,Douglas,371
673,Randy,370
674,Gary,367
675,Lennon,367
676,Titan,367
677,Denver,366
678,Jaziel,366
679,Noe,366
680,Jefferson,364
681,Ricky,364
682,Lochlan,357
683,Rayden,356
684,Bryant,355
685,Langston,354
686,Lachlan,353
687,Clay,352
688,Abdullah,350
689,Lee,350
690,Baylor,349
691,Leandro,349
692,Ben,347
693,Kareem,346
694,Layne,346
695,Joe,345
696,Crosby,344
697,Deandre,344
698,Demetrius,344
699,Kellen,343
700,Carl,342
701,Jakob,342
702,Ridge,342
703,Bronson,341
704,Jedidiah,340
705,Rohan,340
706,Larry,339
707,Stanley,339
708,Tomas,339
709,Shiloh,337
710,Thaddeus,337
711,Watson,337
712,Baker,336
713,Vicente,336
714,Koda,334
715,Jagger,333
716,Nathanael,333
717,Carmelo,332
718,Shepherd,332
719,Graysen,330
720,Melvin,330
721,Ernesto,328
722,Jamie,328
723,Yosef,328
724,Clyde,327
725,Eddie,327
726,Tristen,327
727,Grey,326
728,Ray,326
729,Tommy,326
730,Samir,325
731,Ramon,324
732,Santana,324
733,Kristian,322
734,Marcel,322
735,Wells,322
736,Zyaire,322
737,Brecken,321
738,Byron,321
739,Otis,321
740,Reyansh,320
741,Axl,319
742,Joey,318
743,Trace,318
744,Morgan,317
745,Musa,317
746,Harlan,316
747,Enoch,315
748,Henrik,313
749,Kristopher,313
750,Talon,313
751,Rey,312
752,Guillermo,311
753,Houston,311
754,Jon,311
755,Vincenzo,311
756,Dane,310
