RANK,"FEMALE NAME","NUMBER OF FEMALES"
495,Hattie,624
496,Dayana,622
497,Kendra,622
498,Maisie,622
499,Malaysia,622
500,Kara,616
501,Katelyn,616
502,Maia,614
503,Celine,613
504,Cameron,612
505,Renata,611
506,Jayleen,609
507,Charli,608
508,Emmalyn,608
509,Holly,608
510,Azalea,607
511,Leona,607
512,Alejandra,605
513,Bristol,605
514,Collins,604
515,Imani,603
516,Meadow,602
517,Alexia,600
518,Edith,599
519,Kaydence,599
520,Leslie,597
521,Lilith,597
522,Kora,596
523,Aisha,595
524,Meredith,595
525,Danna,593
526,Wynter,591
527,Emberly,589
528,Julieta,588
529,Michaela,588
530,Alayah,586
531,Jemma,586
532,Reign,586
533,Colette,585
534,Kaliyah,585
535,Elliott,583
536,Johanna,582
537,Remy,581
538,Sutton,581
539,Emmy,580
540,Virginia,578
541,Briana,572
542,Oaklynn,572
543,Adelina,566
544,Everlee,566
545,Megan,564
546,Angelica,562
547,Justice,561
548,Mariam,561
549,Khaleesi,560
550,Macie,558
551,Karsyn,557
552,Alanna,556
553,Aleah,556
554,Mae,556
555,Mallory,556
556,Esme,552
557,Skyla,552
558,Madilynn,551
559,Charley,550
560,Allyson,549
561,Hanna,549
562,Shiloh,548
563,Henley,547
564,Macy,547
565,Maryam,545
566,Ivanna,544
567,Ashlynn,543
568,Lorelai,539
569,Amora,538
570,Ashlyn,538
571,Sasha,536
572,Baylee,535
573,Beatrice,535
574,Itzel,532
575,Priscilla,532
576,Marie,530
577,Jayda,529
578,Liberty,529
579,Rory,529
580,Alessia,528
581,Alaia,524
582,Janelle,524
583,Kalani,523
584,Gloria,521
585,Sloan,519
586,Dorothy,517
587,Greta,517
588,Julie,516
589,Zahra,516
590,Savanna,515
591,Annabella,514
592,Poppy,513
593,Amalia,510
594,Zaylee,508
595,Cecelia,507
596,Coraline,507
597,Kimber,506
598,Emmie,505
599,Anne,504
600,Karina,504
601,Kassidy,504
602,Kynlee,502
603,Monroe,500
604,Anahi,496
605,Jaliyah,496
606,Jazmin,496
607,Maren,495
608,Monica,495
609,Siena,495
610,Marilyn,494
611,Reyna,494
612,Kyra,491
613,Lilian,491
614,Jamie,488
615,Melany,488
616,Alaya,485
617,Ariya,485
618,Kelly,484
619,Rosie,481
620,Adley,480
621,Dream,480
622,Jaylah,480
623,Laurel,480
624,Jazmine,478
625,Mina,477
626,Karla,476
627,Bailee,475
628,Aubrie,474
629,Katalina,472
630,Melina,471
631,Harlee,470
632,Elliot,469
633,Hayley,469
634,Elaine,468
635,Karen,468
636,Dallas,467
637,Irene,464
638,Lylah,464
639,Ivory,462
640,Chaya,461
641,Rosa,461
642,Aleena,460
643,Braelyn,459
644,Nola,458
645,Alma,455
646,Leyla,455
647,Pearl,455
648,Addyson,454
649,Roselyn,454
650,Lacey,453
651,Lennox,453
652,Reina,453
653,Aurelia,450
654,Noa,448
655,Janiyah,447
656,Jessie,447
657,Madisyn,447
658,Saige,447
659,Alia,445
660,Tiana,445
661,Astrid,443
662,Cassandra,443
663,Kyleigh,442
664,Romina,442
